location name latitude longitude time speed rssi_avg rssi_var cellid cqi ssnr 
samsung ram 42.33948115 -71.09038102 1434571666000 0.0 3G 0.0 0.0 -1 -1 2147483647
samsung ram 42.33948097 -71.09038105 1434571667000 0.0 3G 0.0 0.0 -1 -1 2147483647
samsung ram 42.33948083 -71.09038108 1434571668000 0.0 3G 0.0 0.0 -1 -1 2147483647
samsung ram 42.33948059 -71.09038114 1434571669000 0.0 3G 0.0 0.0 -1 -1 2147483647
samsung ram 42.3394804 -71.0903812 1434571670000 0.0 3G 0.0 0.0 -1 -1 2147483647
samsung ram 42.33948009 -71.09038129 1434571671000 0.0 3G -81.0 0.0 -1 -1 2147483647
samsung ram 42.33947965 -71.09038144 1434571672000 0.0 3G 0.0 0.0 -1 -1 2147483647
samsung ram 42.33947934 -71.09038162 1434571673000 0.0 3G 0.0 0.0 -1 -1 2147483647
samsung ram 42.33947896 -71.09038172 1434571674000 0.0 3G 0.0 0.0 -1 -1 2147483647
samsung ram 42.33947883 -71.09038174 1434571675000 0.0 3G 0.0 0.0 -1 -1 2147483647
samsung ram 42.33947874 -71.09038179 1434571676000 0.0 3G 0.0 0.0 -1 -1 2147483647
samsung ram 42.33947863 -71.09038186 1434571677000 0.0 3G 0.0 0.0 -1 -1 2147483647
samsung ram 42.33947849 -71.09038191 1434571678000 0.0 3G -79.0 0.0 -1 -1 2147483647
samsung ram 42.33947839 -71.09038192 1434571679000 0.0 3G -79.0 0.0 -1 -1 2147483647
samsung ram 42.33947835 -71.09038192 1434571680000 0.0 3G 0.0 0.0 -1 -1 2147483647
samsung ram 42.33947819 -71.09038199 1434571681000 0.0 3G -79.0 0.0 -1 -1 2147483647
samsung ram 42.33947811 -71.09038204 1434571682000 0.0 3G 0.0 0.0 -1 -1 2147483647
samsung ram 42.33947797 -71.09038205 1434571683000 0.0 3G -79.0 0.0 -1 -1 2147483647
samsung ram 42.33947792 -71.09038207 1434571684000 0.0 3G 0.0 0.0 -1 -1 2147483647
samsung ram 42.33947786 -71.09038211 1434571685000 0.0 3G 0.0 0.0 -1 -1 2147483647
samsung ram 42.33947781 -71.09038215 1434571686000 0.0 3G -79.0 0.0 -1 -1 2147483647
samsung ram 42.33947775 -71.09038217 1434571687000 0.0 3G 0.0 0.0 -1 -1 2147483647
samsung ram 42.33947771 -71.09038219 1434571688000 0.0 3G 0.0 0.0 -1 -1 2147483647
samsung ram 42.33947774 -71.09038216 1434571689000 0.0 3G 0.0 0.0 -1 -1 2147483647
samsung ram 42.33947764 -71.09038221 1434571690000 0.0 3G 0.0 0.0 -1 -1 2147483647
samsung ram 42.33947757 -71.09038225 1434571691000 0.0 3G 0.0 0.0 -1 -1 2147483647
samsung ram 42.33947747 -71.09038229 1434571692000 0.0 3G -77.0 0.0 -1 -1 2147483647
samsung ram 42.33947746 -71.09038228 1434571693000 0.0 3G -77.0 0.0 -1 -1 2147483647
samsung ram 42.33947737 -71.09038231 1434571694000 0.0 3G -79.0 0.0 -1 -1 2147483647
samsung ram 42.33947741 -71.09038228 1434571695000 0.0 3G 0.0 0.0 -1 -1 2147483647
samsung ram 42.33947741 -71.09038225 1434571696000 0.0 3G 0.0 0.0 -1 -1 2147483647
samsung ram 42.33947756 -71.09038214 1434571697000 0.0 3G 0.0 0.0 -1 -1 2147483647
samsung ram 42.33947764 -71.09038205 1434571698000 0.0 3G -81.0 0.0 -1 -1 2147483647
samsung ram 42.3394777 -71.09038199 1434571699000 0.0 3G 0.0 0.0 -1 -1 2147483647
samsung ram 42.33947769 -71.09038198 1434571700000 0.0 3G 0.0 0.0 -1 -1 2147483647
samsung ram 42.33947765 -71.09038195 1434571701000 0.0 3G -83.0 0.0 -1 -1 2147483647
samsung ram 42.33947769 -71.09038191 1434571702000 0.0 3G 0.0 0.0 -1 -1 2147483647
samsung ram 42.33947761 -71.09038192 1434571703000 0.0 3G -83.0 0.0 -1 -1 2147483647
